"CategoryString","ImpactString","ResourceType","Label","Description","RecommendationTypeId","ARG_Query","IsMappable","Reason"
"HighAvailability","High","Microsoft.Network/trafficmanagerprofiles","Add Endpoint","For geographic routing, traffic is routed to endpoints in defined regions. When a region fails, there is no pre-defined failover. Having an endpoint where the Regional Grouping is configured to All (World) for geographic profiles avoids traffic black holing and guarantees service availability.","0BBE0A49-3C63-49D3-AB4A-AA24198F03F7","resources
| where type == 'microsoft.network/trafficmanagerprofiles'
| where properties.trafficRoutingMethod =~ ""Geographic""
| extend endpoints = properties.endpoints
| mv-expand endpoint = endpoints
| where endpoint.properties.geoMapping !contains ""WORLD""
| project id, subscriptionId",FALSE,"Uses mv-expand on endpoints array"
"HighAvailability","High","MICROSOFT.NETAPP/NETAPPACCOUNTS/CAPACITYPOOLS/VOLUMES","Configure a snapshot for the Azure NetApp Files volume","Configure a snapshot for the Azure NetApp Files volume. Restore a snapshot to a new volume, restore a single file using a client, or revert an existing volume using a snapshot.","CDA11061-35A8-4CA3-AA03-B242DCDF7319","resources
| where type == ""microsoft.netapp/netappaccounts/capacitypools/volumes""
| where isempty(  properties['dataProtection']['snapshot']['snapshotPolicyId']) and isempty(properties['snapshotId'])
| where properties['provisioningState'] has ""Succeeded""
| project id, subscriptionId",TRUE,""
"HighAvailability","High","MICROSOFT.NETWORK/APPLICATIONGATEWAYS","Application Gateway v1 has been retired. Please migrate to Application Gateway v2.","We announced the deprecation of Application Gateway V1 on April 28, 2023. Starting from April 28, 2026, we are retiring Application Gateway v1 SKU. If you use Application Gateway V1 SKU, start planning your migration to V2 now.","0E19257E-DCEF-4D00-8DE1-5FE1AE0FD948","resources | where type == 'microsoft.network/applicationgateways' | where tolower(properties.sku.tier) in ('standard', 'waf') | project id,subscriptionId",TRUE,""
"OperationalExcellence","High","MICROSOFT.NETWORK/APPLICATIONGATEWAYWEBAPPLICATIONFIREWALLPOLICIES","Upgrade from legacy CRS 2.2.9 rule set to the latest DRS version","Usage of CRS 2.2.9 is no longer supported for new WAF policies. We recommend you upgrade to the latest DRS version. Upgrading to DRS 2.1 or later will migrate WAF to a newer engine with larger scale limits, enhanced performance, better protection and fewer false positive.","AA60B18A-FEAB-4857-8D9A-E4F6A8D3EF0E","resources
| where type =~ ""microsoft.network/applicationgatewaywebapplicationfirewallpolicies""
| mv-expand properties.managedRules.managedRuleSets
| extend RuleType=properties_managedRules_managedRuleSets.ruleSetType, RuleSetVersion=properties_managedRules_managedRuleSets.ruleSetVersion
| where RuleType == ""OWASP"" and RuleSetVersion == ""2.2.9""
| project id, subscriptionId",FALSE,"Uses mv-expand on properties.managedRules.managedRuleSets"
"HighAvailability","High","MICROSOFT.CACHE/REDIS","Configure geo-replication for Cache for Redis instances to increase durability of applications","Geo-Replication enables disaster recovery for cached data, even in the unlikely event of a widespread regional failure. This can be essential for mission-critical applications. We recommend that you configure passive geo-replication for Premium Azure Cache for Redis instances.","C9E4A27C-79E6-4E4C-904F-B6612B6CD892","resources
| where type =~ ""microsoft.cache/redis""
    and properties['sku']['name'] =~ ""premium""
    and array_length(properties['linkedServers']) == 0
    and properties['redisConfiguration']['rdb-backup-enabled'] != ""true""
    and properties['redisConfiguration']['aof-backup-enabled'] != ""true""
    and isempty(properties['redisConfiguration']['zonal-configuration'])
    and isnull(properties['replicasPerPrimary'])
    and isnull(properties['replicasPerMaster'])
| project id, subscriptionId",FALSE,"Uses array_length"
"OperationalExcellence","High","MICROSOFT.NETWORK/APPLICATIONGATEWAYWEBAPPLICATIONFIREWALLPOLICIES","Upgrade to the latest DRS rule set in Application Gateway WAF","WAF rule sets are constantly updated to guard against new attacks. Upgrading to the latest DRS version provides enhanced engine performance, improved protection, and reduced false positives. CRS rule sets are legacy versions, older than DRS; it is recommended to use the latest DRS version (DRS 2.2).","7AAEFE5A-5B88-4790-9A3D-5106722F7C34","resources
| where type =~ ""microsoft.network/applicationgatewaywebapplicationfirewallpolicies""
| extend ruleset1=properties.managedRules.managedRuleSets[0], ruleset2=properties.managedRules.managedRuleSets[1], ruleSetType1=properties.managedRules.managedRuleSets[0].ruleSetType, ruleSetType2=properties.managedRules.managedRuleSets[1].ruleSetType
| where (ruleSetType1 =~ ""OWASP"" and (ruleset1[""ruleSetVersion""] in (""2.2.9"",""3.0"",""3.1"",""3.2""))) or (ruleSetType2 =~ ""OWASP"" and (ruleset2[""ruleSetVersion""] in (""2.2.9"",""3.0"",""3.1"",""3.2"")))
| project id, subscriptionId",TRUE,""
"HighAvailability","High","MICROSOFT.NETWORK/APPLICATIONGATEWAYS","Deploy your Application Gateway across Availability Zones","Achieve zone redundancy by deploying Application Gateway across Availability Zones. Zone redundancy boosts resilience by enabling Application Gateway to survive various outages. Zone redundancy ensures continuity even if one zone is affected and enhances overall reliability.","5C488377-BE3E-4365-92E8-09D1E8D9038C","resources | where type =~ 'microsoft.network/applicationGateways' | where isnull(zones) or array_length(zones) < 2 | project id, subscriptionId",FALSE,"Uses array_length"
"OperationalExcellence","High","MICROSOFT.NETWORK/FRONTDOORWEBAPPLICATIONFIREWALLPOLICIES","Upgrade to the latest DRS rule set in Front Door WAF","WAF rule sets are constantly updated to guard against new attacks. Upgrading to the latest DRS version will provide enhanced engine performance, better protection, and a reduction in false positives. It is recommended to use the latest DRS rule set version.","A1AD465B-8218-40D6-A6CE-4BFFF566A6CD","resources
| where type =~ ""microsoft.network/frontdoorwebapplicationfirewallpolicies""
| extend ruleset1=properties.managedRules.managedRuleSets[0], ruleset2=properties.managedRules.managedRuleSets[1], ruleSetType1=properties.managedRules.managedRuleSets[0].ruleSetType, ruleSetType2=properties.managedRules.managedRuleSets[1].ruleSetType
| where (sku.name !~ ""Classic_AzureFrontDoor"") and (ruleSetType1 =~ ""Microsoft_DefaultRuleSet"" and (ruleset1[""ruleSetVersion""] in (""1.0"",""1.1"",""2.0""))) or (ruleSetType2 =~ ""Microsoft_DefaultRuleSet"" and (ruleset2[""ruleSetVersion""] in (""1.0"",""1.1"",""2.0"")))
| project id, subscriptionId",TRUE,""
"HighAvailability","High","MICROSOFT.COMPUTE/VIRTUALMACHINESCALESETS","Enable Automatic Repair Policy on Azure Virtual Machine Scale Sets","Enabling automatic instance repairs helps achieve high availability by maintaining a set of healthy instances. If an unhealthy instance is found by the Application Health extension or load balancer health probe, automatic instance repairs attempt to recover the instance by triggering repair actions.","B4D988A9-85E6-4179-B69C-549BDD8A55BB","resources
| where type =~ ""microsoft.compute/virtualmachinescalesets""
| where isnotnull(properties.virtualMachineProfile)
| where isnull(properties.automaticRepairsPolicy) or properties.automaticRepairsPolicy.enabled == false
| project subscriptionId,id",TRUE,""
"HighAvailability","High","MICROSOFT.APIMANAGEMENT/SERVICE","Deploy an Azure API Management instance to multiple Azure regions for increased service availability","Azure API Management supports multi-region deployment, which enables API publishers to add regional API gateways to an existing API Management instance. Multi-region deployment helps reduce request latency perceived by geographically distributed API consumers and improves service availability.","2E4D65A3-1E77-4759-BCAA-13009484A97E","resources
| where type == ""microsoft.apimanagement/service""
| where sku.name == ""Premium""
| where isnull(properties['additionalLocations'])
| project id,subscriptionId
",TRUE,""
"OperationalExcellence","High","MICROSOFT.COMPUTE/VIRTUALMACHINES","Enable Trusted Launch foundational excellence, and modern security for Existing Generation 2 VM(s)","Trusted Launch (TL) offers a modern and operational technologies for Azure virtual machines, using Secure Boot, virtual TPM, and guest attestation. This Generation 2 VM(s) have an opportunity to upgrade to Trusted Launch. Ensure this VM(s) has both an image and VM size that it is TL compatible.","DE7DDAC0-29E6-4BFF-A812-519D18184982","resources 
| where type == ""microsoft.compute/virtualmachines""
| extend hyperV = tostring(properties['extended']['instanceView']['hyperVGeneration'])
| extend security_type = tostring(properties['securityProfile']['securityType'])
| where hyperV == ""V2""
| where security_type != ""TrustedLaunch"" 
| where security_type != ""ConfidentialVM"" 
| project id, subscriptionId",FALSE,"properties.extended.instanceView.hyperVGeneration is not in the standard ARM VM GET response"
"HighAvailability","High","MICROSOFT.CONTAINERREGISTRY/REGISTRIES","Use Premium tier for critical production workloads","Premium registries provide the highest amount of included storage, concurrent operations and network bandwidth, enabling high-volume scenarios. The Premium tier also adds features such as geo-replication, availability zone support, content-trust, customer-managed keys and private endpoints.","AF0CDBCE-C610-499B-9BD7-B169CDB1BB2E","resources
| where type =~ ""microsoft.containerregistry/registries""
| where sku.name != ""Premium""
| project id, subscriptionId",TRUE,""
"HighAvailability","High","MICROSOFT.COMPUTE/VIRTUALMACHINES","Migrate workload on A-series or B-series virtual machine (VM) to D-series or better VM","Migrate production workload from A-series or B-series virtual machine (VM) to D-series or better VM. A-series and B-series VMs are designed for entry-level workloads.","7F71B153-C0B7-4E99-A23E-DB8179183EC9","resources | where type == 'microsoft.compute/virtualmachines' | where properties.hardwareProfile.vmSize contains 'Standard_B' or properties.hardwareProfile.vmSize contains 'Standard_A' | project subscriptionId, id",TRUE,""
"HighAvailability","High","MICROSOFT.COMPUTE/VIRTUALMACHINES","Use Azure Capacity Reservation for virtual machine (VM)","Use Azure Capacity Reservation for virtual machine (VM) that runs critical workloads. Azure Capacity Reservations reserve compute capacity in a specific region or availability zone.","1670C0AF-6536-4CBF-872F-152C91A51A80","resources | where type =~ 'Microsoft.Compute/virtualMachines' | where isnull(properties.capacityReservation) | project subscriptionId, id",TRUE,""
"HighAvailability","High","MICROSOFT.COGNITIVESERVICES/ACCOUNTS","Azure QnAMaker is being retired.","Beginning October 1, 2022, you aren't be able to create new QnA Maker resources or knowledge bases. All QnA Maker resources and knowledge bases created before that date are supported until the retirement date.","5046219D-E79F-46BF-A68F-0CCB5166F5FD","resources | where type =~ 'Microsoft.CognitiveServices/accounts' and kind == 'QnAMaker' | project subscriptionId, id",TRUE,""
"HighAvailability","High","MICROSOFT.DOCUMENTDB/DATABASEACCOUNTS","Azure Cosmos DB requires using TLS 1.2 or later","All Cosmos DB database accounts must use Transport Layer Security (TLS) 1.2 or higher","3086BD6C-A257-4577-9401-FA9D1E0CE48A","resources | where type contains 'microsoft.documentdb/databaseaccounts' and (isempty(properties['minimalTlsVersion']) or  properties['minimalTlsVersion'] in ('Tls11','Tls')) | project subscriptionId, id",TRUE,""
"HighAvailability","High","MICROSOFT.DBFORPOSTGRESQL/SERVERS","Support for Azure Database for PostgreSQL Single Server Version 11 is being retired","Migrate your Azure Database for PostgreSQL Single Servers to version 13 or later on Flexible Server","8C4045CC-81F1-4970-AA3F-34D6C0BE1BE8","resources | where type =~ 'microsoft.dbforpostgresql/servers' and properties.version == '11' | project subscriptionId, id",TRUE,""
"HighAvailability","High","MICROSOFT.DBFORPOSTGRESQL/SERVERS","Azure Database for PostgreSQL Single Server is being retired.","Use the migration tool to migrate to Azure Database for PostgreSQL Flexible Server","AEAB15F5-B474-46F5-892E-8D60F874D769","resources | where type =~ 'microsoft.dbforpostgresql/servers' | project subscriptionId, id",TRUE,""
